raw_value,code,method,reviewed
Высланные в Кемеровскую область,RU-KEM,manual,true
МВД Республики Удмуртия,RU-UD,manual,true
"газета ""Московская правда""",RU-MOW,manual,true
"Книга памяти ""Хранить вечно"" (Акмолинская обл., Казахстан)",KZ,manual,true
МВД Республики Ингушетия,RU-IN,manual,true
УВД Пермской обл.,RU-PER,manual,true
Брянская обл.,RU-BRY,manual,true
Жертвы репрессий в Приморском крае (База данных),RU-PRI,manual,true
Узбекистан,UZ,manual,true
Книга памяти Воронежской обл.,RU-VOR,manual,true
Марий Эл,RU-ME,manual,true
Книга памяти Калининской обл.,RU-TVE,manual,true
ГУВД Челябинской обл.,RU-CHE,manual,true
Книга памяти Республики Удмуртия,RU-UD,manual,true
Якутия,RU-SA,manual,true
Тульская обл.,RU-TUL,manual,true
Польские заключенные воркутинских лагерей (База данных),RU-KO,manual,true
Книга памяти Республики Марий Эл,RU-ME,manual,true
Книга памяти Республики Киргизия,KG,manual,true
Северная Осетия,RU-SE,manual,true
Книга памяти Тамбовской обл. - подготовительные материалы,RU-TAM,manual,true
Книга памяти Брянской обл. - подготовительные материалы,RU-BRY,manual,true
УВД Орловской обл.,RU-ORL,manual,true
Книга памяти Тюменской обл.,RU-TYU,manual,true
Мемориал (Пензенское общество),RU-PNZ,manual,true
УВД Рязанской обл.,RU-RYA,manual,true
Книга памяти Магаданской обл.,RU-MAG,manual,true
"Фонд ""Шахидлар Хотирасы"" (Узбекистан)",UZ,manual,true
Высланные в Красноярский кр.,RU-KYA,manual,true
Курская обл.,RU-KRS,manual,true
Книга памяти Курской обл.,RU-KRS,manual,true
"Книга памяти ""Узницы АЛЖИРа""",KZ,manual,true
Книга памяти Республики Саха (Якутия),RU-SA,manual,true
АЛЖИР,KZ,manual,true
Мемориал (Воронежское общество),RU-VOR,manual,true
Книга памяти Республики Алтай,RU-AL,manual,true
Республика Алтай,RU-AL,manual,true
Книга памяти Республики Северная Осетия - Алания.,RU-SE,manual,true
ДКНБ РК по Карагандинской обл.,KZ,manual,true
Архив Чувашской Республики,RU-CU,manual,true
Тагиллаг,RU-SVE,manual,true
ДКНБ РК по Южно-Казахстанской обл.,KZ,manual,true
УВД Вологодской обл.,RU-VLG,manual,true
Книга памяти Тульской обл.,RU-TUL,manual,true
Книга памяти Мурманской обл.,RU-MUR,manual,true
"Архив НИЦ ""Мемориал"" (Санкт-Петербург)",RU-SPE,manual,true
Книга памяти Кемеровской обл.,RU-KEM,manual,true
Мемориальное кладбище «Сандормох»,RU-KR,manual,true
НИПЦ Мемориал (Москва),RU-MOW,manual,true
ДКНБ РК по Актюбинской обл.,KZ,manual,true
Возвращенные имена (Нижний Тагил),RU-SVE,manual,true
Карачаево-Черкесия,RU-KC,manual,true
УВД Тамбовской обл.,RU-TAM,manual,true
Еврейская автономная область,RU-YEV,manual,true
УВД Тверской обл.,RU-TVE,manual,true
Мемориал (Томское общество),RU-TOM,manual,true
Книга памяти ЕАО,RU-YEV,manual,true
Хакасия,RU-KK,manual,true
Книга памяти Республики Хакасия,RU-KK,manual,true
Книга памяти Кабардино-Балкарии,RU-KB,manual,true
УВД Пензенской обл.,RU-PNZ,manual,true
ДКНБ РК по Западно-Казахстанской обл.,KZ,manual,true
Сведения КНБ РК,KZ,manual,true
Высланные в Пермскую область,RU-PER,manual,true
ДКНБ РК по Северо-Казахстанской обл.,KZ,manual,true
Донецкая обл.,UA,manual,true
Книга памяти мариупольских греков,UA,manual,true
Книга памяти Сахалинской обл.,RU-SAK,manual,true
МВД  Чувашской Республики,RU-CU,manual,true
Усольлаг,RU-PER,manual,true
"Москва, расстрельные списки - Донской крематорий",RU-MOW,manual,true
Сахалинской обл.,RU-SAK,manual,true
Высланные в Ставропольскую область,RU-STA,manual,true
Высланные в Архангельскую область,RU-ARK,manual,true
"Москва, расстрельные списки - Коммунарка",RU-MOW,manual,true
Убиты в Катыни (книга памяти),RU-SMO,manual,true
Книга памяти Алма-Атинской обл. (Казахстан),KZ,manual,true
ДКНБ РК по Акмолинской обл.,KZ,manual,true
УВД Нижегородской обл.,RU-NIZ,manual,true
Списки выселенных из Пензенской обл.,RU-PNZ,manual,true
Сахалинская обл.,RU-SAK,manual,true
МВД Республики Мордовия,RU-MO,manual,true
Правительство Республики Дагестан,RU-DA,manual,true
ДКНБ РК по Костанайской обл.,KZ,manual,true
УВД Ивановской обл.,RU-IVA,manual,true
УВД Магаданской обл.,RU-MAG,manual,true
УВД Амурской обл.,RU-AMU,manual,true
Грузия,GE,manual,true
Книга памяти Ростовской обл.,RU-ROS,manual,true
ДКНБ РК по Алматинской обл.,KZ,manual,true
УВД Новгородской обл.,RU-NGR,manual,true
Сталинские списки из Грузии,GE,manual,true
ДКНБ РК по Павлодарской обл.,KZ,manual,true
ДКНБ РК по Жамбылской обл.,KZ,manual,true
Высланные в Томскую область,RU-TOM,manual,true
ДКНБ РК по Кызылординской обл.,KZ,manual,true
Книга памяти Бурятии: подготовительные материалы,RU-BU,manual,true
Белбалтлаг,RU-KR,manual,true
Книга памяти Карачаево-Черкесской Республики,RU-KC,manual,true
УВД Смоленской обл.,RU-SMO,manual,true
Высланные в Коми АССР,RU-KO,manual,true
"Широклаг. Широкстрой: списки калмыков-военнослужащих, отозванных с фронтов в 1944-1945 гг.",RU-CHE,manual,true
Высланные в Иркутскую область,RU-IRK,manual,true
Книга памяти Калининской обл. - Подготовительные материалы к 3 тому.,RU-TVE,manual,true
Приморский край,RU-PRI,manual,true
"Газета ""Грозненский рабочий""",RU-CE,manual,true
"Ленинградский мартиролог: 1937-1938, том 5",RU-SPE,manual,true
Ухтпечлаг,RU-KO,manual,true
Адыгея,RU-AD,manual,true
МВД Республики Адыгея,RU-AD,manual,true
Книга памяти Вологодской обл. - подготовительные материалы,RU-VLG,manual,true
Высланные в Узбекистан,UZ,manual,true
Архив Карачаево-Черкесской Республики,RU-KC,manual,true
УВД Брянской обл.,RU-BRY,manual,true
Крым,UA-43,manual,true
Книга памяти Автономной Республики Крым,UA-43,manual,true
Реабилитированные историей : Автономная Республика Крым,UA-43,manual,true
